date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:06	85895/85895	---M-Z	200	added ('OK')	text/html	etag:%2214f87-6931718d-728f178adfeed075;gz%22	https://thewebmax.org/travlla/tour-list-style.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-list-style.html	(from https://thewebmax.org/travlla/)
08:58:06	56593/56593	---M-Z	200	added ('OK')	text/html	etag:%22dd11-6931718d-ebc4d69b50efa838;gz%22	https://thewebmax.org/travlla/tour-1-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-1-grid.html	(from https://thewebmax.org/travlla/)
08:58:06	86909/86909	---M-Z	200	added ('OK')	text/html	etag:%221537d-6931718d-353346f403539bd0;gz%22	https://thewebmax.org/travlla/tour-1-grid-right.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-1-grid-right.html	(from https://thewebmax.org/travlla/)
08:58:07	52641/52641	---M-Z	200	added ('OK')	text/html	etag:%22cda1-6931718d-980847855a16913a;gz%22	https://thewebmax.org/travlla/tour-2-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-2-grid.html	(from https://thewebmax.org/travlla/)
08:58:07	82270/82270	---M-Z	200	added ('OK')	text/html	etag:%221415e-6931718d-c491c331f65e3d86;gz%22	https://thewebmax.org/travlla/tour-2-grid-right.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-2-grid-right.html	(from https://thewebmax.org/travlla/)
08:58:07	54845/54845	---M-Z	200	added ('OK')	text/html	etag:%22d63d-6931718d-485036c5ec670808;gz%22	https://thewebmax.org/travlla/tour-3-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-3-grid.html	(from https://thewebmax.org/travlla/)
08:58:08	77521/77521	---M-Z	200	added ('OK')	text/html	etag:%2212ed1-6931718d-711c9277d72ea4d2;gz%22	https://thewebmax.org/travlla/tour-3-grid-right.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-3-grid-right.html	(from https://thewebmax.org/travlla/)
08:58:08	71536/71536	---M-Z	200	added ('OK')	text/html	etag:%2211770-6931718d-1f44fc7a5f2a74d9;gz%22	https://thewebmax.org/travlla/tour-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-detail.html	(from https://thewebmax.org/travlla/)
08:58:08	44477/44477	---M-Z	200	added ('OK')	text/html	etag:%22adbd-6931718e-d24f5f4085e854b8;gz%22	https://thewebmax.org/travlla/blog-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/blog-grid.html	(from https://thewebmax.org/travlla/)
08:58:09	51905/51905	---M-Z	200	added ('OK')	text/html	etag:%22cac1-6931718e-29aaf4849c8bffb0;gz%22	https://thewebmax.org/travlla/blog-grid-left.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/blog-grid-left.html	(from https://thewebmax.org/travlla/)
08:58:09	55506/55506	---M-Z	200	added ('OK')	text/html	etag:%22d8d2-6931718e-2b94f1230b064801;gz%22	https://thewebmax.org/travlla/blog-list-left.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/blog-list-left.html	(from https://thewebmax.org/travlla/)
08:58:09	54223/54223	---M-Z	200	added ('OK')	text/html	etag:%22d3cf-6931718e-b1f993447a9918ea;gz%22	https://thewebmax.org/travlla/blog-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/blog-detail.html	(from https://thewebmax.org/travlla/)
08:58:09	31557/31557	---M-Z	200	added ('OK')	text/html	etag:%227b45-6931718e-2a276c3e734cb617;gz%22	https://thewebmax.org/travlla/contact.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/contact.html	(from https://thewebmax.org/travlla/)
08:58:11	230829/230829	---M--	200	added ('OK')	image/gif	etag:%22385ad-6931718f-9dd651058e437bee;;;%22	https://thewebmax.org/travlla/images/butterfly.gif	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/images/butterfly.gif	(from https://thewebmax.org/travlla/)
08:58:13	310305/310305	---M--	200	added ('OK')	image/png	etag:%224bc21-69317191-6209663867c89154;;;%22	https://thewebmax.org/travlla/images/lizard.png	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/images/lizard.png	(from https://thewebmax.org/travlla/)
